qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QJD50825.1,80.4,107,21,0,1,107,248,354,7.4e-64,199.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50825.1,DNA primase,Streptomyces phage Bmoc,354.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QBP30875.1,80.4,107,21,0,1,107,248,354,3.35e-62,195.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30875.1,DNA primase,Streptomyces phage EGole,354.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,ASR77783.1,79.4,107,22,0,1,107,225,331,1.02e-61,193.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77783.1,DNA primase,Streptomyces phage Peebs,331.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AST15309.1,79.4,107,22,0,1,107,248,354,1.9e-61,193.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15309.1,DNA primase,Streptomyces phage Samisti12,354.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QGH76387.1,81.3,107,20,0,1,107,248,354,1.9e-61,193.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76387.1,DNA primase,Streptomyces phage Daubenski,354.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AIW02580.1,77.6,107,24,0,1,107,248,354,8.55e-60,189.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02580.1,DNA primase,Streptomyces phage Jay2Jay,354.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QDH93945.1,77.6,107,24,0,1,107,248,354,8.55e-60,189.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH93945.1,DNA primase,Streptomyces phage Evy,354.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,ASR77341.1,74.8,107,27,0,1,107,248,354,5.44e-58,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77341.1,DNA primase,Streptomyces phage NootNoot,354.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,ASR77562.1,74.8,107,27,0,1,107,248,354,5.44e-58,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77562.1,DNA primase,Streptomyces phage Paradiddles,354.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QDK02933.1,74.8,107,27,0,1,107,248,354,5.44e-58,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK02933.1,DNA primase,Streptomyces phage Braelyn,354.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
