,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_genome_ID,qseqid_ID,qseqid_function,qseqid_protein_length,qseqid_genome_length,qseqid_input_seq,qseqid_virus,sseqid_genome_ID,sseqid_ID,sseqid_function,sseqid_protein_length,sseqid_genome_length,sseqid_input_seq,sseqid_virus,conserved_AA_#
0,NC_024711.1_1,YP_010509407.1,100.0,31,0,0,2,32,55,85,9.66e-18,71.2,NC_024711.1,NC_024711.1_1,,33,91284.0,1.0,,NC_067194.1,YP_010509407.1,MAG: hypothetical protein OIE19_gp01,85.0,97065.0,0.0,Carjivirus communis,31.0
1,NC_024711.1_1,YP_009052484.1,100.0,31,0,0,2,32,55,85,9.66e-18,71.2,NC_024711.1,NC_024711.1_1,,33,91284.0,1.0,,,,,,,0.0,,31.0
2,NC_024711.1_1,YP_010509407.1,100.0,31,0,0,2,32,55,85,9.66e-18,71.2,NC_024711.1,NC_024711.1_1,,33,91284.0,1.0,,NC_067194.1,YP_010509407.1,MAG: hypothetical protein OIE19_gp01,85.0,97065.0,0.0,Carjivirus communis,31.0
3,NC_024711.1_2,YP_010509408.1,100.0,249,0,0,13,261,1,249,6.83e-176,487.0,NC_024711.1,NC_024711.1_2,,262,91284.0,1.0,,NC_067194.1,YP_010509408.1,MAG: putative ssb single stranded DNA-binding protein,249.0,97065.0,0.0,Carjivirus communis,249.00000000000003
4,NC_024711.1_2,YP_009052485.1,100.0,249,0,0,13,261,1,249,6.83e-176,487.0,NC_024711.1,NC_024711.1_2,,262,91284.0,1.0,,,,,,,0.0,,249.00000000000003
5,NC_024711.1_2,YP_010509408.1,100.0,249,0,0,13,261,1,249,6.83e-176,487.0,NC_024711.1,NC_024711.1_2,,262,91284.0,1.0,,NC_067194.1,YP_010509408.1,MAG: putative ssb single stranded DNA-binding protein,249.0,97065.0,0.0,Carjivirus communis,249.00000000000003
6,NC_024711.1_2,QWM89715.1,94.4,250,13,1,13,261,1,250,2.4300000000000003e-167,465.0,NC_024711.1,NC_024711.1_2,,262,91284.0,1.0,,MZ130481.1,QWM89715.1,SSB single stranded DNA-binding protein,250.0,98001.0,0.0,CrAss-like virus sp.,236.0
7,NC_024711.1_2,YP_010359287.1,94.4,250,13,1,13,261,1,250,2.4300000000000003e-167,465.0,NC_024711.1,NC_024711.1_2,,262,91284.0,1.0,,NC_062771.1,YP_010359287.1,SSB single stranded DNA-binding protein,uncultured phage cr99_1,98001.0,0.0,250,236.0
8,NC_024711.1_3,YP_010509410.1,100.0,101,0,0,1,101,1,101,3.22e-65,194.0,NC_024711.1,NC_024711.1_3,,102,91284.0,1.0,,NC_067194.1,YP_010509410.1,MAG: hypothetical protein OIE19_gp04,101.0,97065.0,0.0,Carjivirus communis,101.0
9,NC_024711.1_3,YP_009052487.1,100.0,101,0,0,1,101,1,101,3.22e-65,194.0,NC_024711.1,NC_024711.1_3,,102,91284.0,1.0,,,,,,,0.0,,101.0
10,NC_024711.1_3,YP_010509410.1,100.0,101,0,0,1,101,1,101,3.22e-65,194.0,NC_024711.1,NC_024711.1_3,,102,91284.0,1.0,,NC_067194.1,YP_010509410.1,MAG: hypothetical protein OIE19_gp04,101.0,97065.0,0.0,Carjivirus communis,101.0
11,NC_024711.1_4,YP_010509411.1,100.0,58,0,0,1,58,1,58,3.3300000000000003e-32,108.0,NC_024711.1,NC_024711.1_4,,59,91284.0,1.0,,NC_067194.1,YP_010509411.1,MAG: hypothetical protein OIE19_gp05,58.0,97065.0,0.0,Carjivirus communis,57.99999999999999
12,NC_024711.1_4,YP_010509411.1,100.0,58,0,0,1,58,1,58,3.3300000000000003e-32,108.0,NC_024711.1,NC_024711.1_4,,59,91284.0,1.0,,NC_067194.1,YP_010509411.1,MAG: hypothetical protein OIE19_gp05,58.0,97065.0,0.0,Carjivirus communis,57.99999999999999
13,NC_024711.1_4,QWM89713.1,93.1,58,4,0,1,58,1,58,5.36e-29,100.0,NC_024711.1,NC_024711.1_4,,59,91284.0,1.0,,MZ130481.1,QWM89713.1,hypothetical protein,58.0,98001.0,0.0,CrAss-like virus sp.,53.99799999999999
14,NC_024711.1_4,YP_010359285.1,93.1,58,4,0,1,58,1,58,5.36e-29,100.0,NC_024711.1,NC_024711.1_4,,59,91284.0,1.0,,NC_062771.1,YP_010359285.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,58,53.99799999999999
15,NC_024711.1_5,YP_010509412.1,100.0,208,0,0,1,208,1,208,2.1e-142,398.0,NC_024711.1,NC_024711.1_5,,209,91284.0,1.0,,NC_067194.1,YP_010509412.1,MAG: hypothetical protein OIE19_gp06,208.0,97065.0,0.0,Carjivirus communis,208.0
16,NC_024711.1_5,YP_009052488.1,100.0,208,0,0,1,208,1,208,2.1e-142,398.0,NC_024711.1,NC_024711.1_5,,209,91284.0,1.0,,,,,,,0.0,,208.0
17,NC_024711.1_5,YP_010509412.1,100.0,208,0,0,1,208,1,208,2.1e-142,398.0,NC_024711.1,NC_024711.1_5,,209,91284.0,1.0,,NC_067194.1,YP_010509412.1,MAG: hypothetical protein OIE19_gp06,208.0,97065.0,0.0,Carjivirus communis,208.0
18,NC_024711.1_5,QWM89712.1,84.1,201,29,2,1,200,1,199,3.52e-108,311.0,NC_024711.1,NC_024711.1_5,,209,91284.0,1.0,,MZ130481.1,QWM89712.1,hypothetical protein,204.0,98001.0,0.0,CrAss-like virus sp.,169.04099999999997
