qseqid_genome_ID,sseqid_genome_ID,sseqid_virus,distance,total_aln_length,avg_pid,avg_genome_length,qseqid_genome_length,sseqid_genome_length
AH1_S13_NODE_1049_length_1242_cov_14.214827,ON169972,Pseudomonas phage EM,0.995,191,39.8,48025.0,1275.0,94775.0
AH1_S13_NODE_1277_length_1186_cov_6.063660,KX557284.1,Gordonia phage Strosahl,0.994,76,64.5,26732.0,726.0,52738.0
AH1_S13_NODE_1277_length_1186_cov_6.063660,MG518519.1,Streptomyces phage Manuel,0.996,50,62.0,22951.5,726.0,45177.0
AH1_S13_NODE_15_length_3314_cov_6.551089,MK416018.1,Klebsiella phage ST147-VIM1phi7.1,0.986,245,36.3,18609.5,3078.0,34141.0
AH1_S13_NODE_15_length_3314_cov_6.551089,KY271397.1,Klebsiella phage 3LV2017,0.992,149,34.9,19089.0,3078.0,35100.0
AH1_S13_NODE_15_length_3314_cov_6.551089,KP696447.1,Bacillus phage Stahl,0.998,80,35.0,41613.0,3078.0,80148.0
AH1_S13_NODE_177_length_1878_cov_2.039495,AF083977.1,Escherichia phage Mu,0.997,87,23.0,19312.5,1908.0,36717.0
AH1_S13_NODE_177_length_1878_cov_2.039495,EU304328.2,Ostreococcus tauri virus OtV5,0.999,43,41.9,94310.5,1908.0,186713.0
AH1_S13_NODE_1_length_15095_cov_4.435439,MG711466.1,Faecalibacterium phage FP_Toutatis,0.975,749,36.0,34286.5,13848.0,54725.0
AH1_S13_NODE_1_length_15095_cov_4.435439,MT613935.1,Pseudomonas phage Persinger,0.977,662,33.5,28940.5,13848.0,44033.0
AH1_S13_NODE_1_length_15095_cov_4.435439,KY705409.1,Escherichia phage vB_EcoM_ECOO78,0.98,448,40.8,27568.5,13848.0,41289.0
AH1_S13_NODE_1_length_15095_cov_4.435439,EU399241.1,Halomonas phage phiHAP-1,0.994,175,30.3,26546.5,13848.0,39245.0
AH1_S13_NODE_1_length_15095_cov_4.435439,MG189906.1,Stenotrophomonas phage vB_SmaS_DLP_5,0.997,246,26.0,55195.0,13848.0,96542.0
AH1_S13_NODE_21_length_3040_cov_9.124623,KY092479.1,Streptomyces phage Ididsumtinwong,0.978,416,36.1,20228.5,2640.0,37817.0
AH1_S13_NODE_2_length_10295_cov_4.930078,MT740737.1,Ralstonia phage Firinga,0.988,242,41.7,24667.5,9591.0,39744.0
AH1_S13_NODE_2_length_10295_cov_4.930078,GQ478081.1,Enterococcus phage phiFL1A,0.988,310,30.6,24177.5,9591.0,38764.0
AH1_S13_NODE_2_length_10295_cov_4.930078,NC_026608,Paracoccus phage vB_PmaS-R3,0.994,139,39.6,25842.0,9591.0,42093.0
AH1_S13_NODE_2_length_10295_cov_4.930078,KT001913.1,Caulobacter phage Sansa,0.995,213,32.4,44944.0,9591.0,80297.0
AH1_S13_NODE_2_length_10295_cov_4.930078,NC_073026,Xanthomonas phage vB_Xar_IVIA-DoCa5,0.996,110,40.9,32999.5,9591.0,56408.0
AH1_S13_NODE_2_length_10295_cov_4.930078,MN094788.1,Achromobacter phage Motura,0.998,149,43.6,115511.0,9591.0,221431.0
AH1_S13_NODE_302_length_1646_cov_2.526084,JN564907.1,Burkholderia phage vB_BceS_AH2,0.996,141,30.5,29685.0,1305.0,58065.0
AH1_S13_NODE_32_length_2850_cov_4.774597,MN586027.1,Arthrobacter phage Mufasa8,0.995,80,61.3,31215.5,2226.0,60205.0
AH1_S13_NODE_32_length_2850_cov_4.774597,MF403008.1,Agrobacterium phage Atu_ph07,1.0,103,36.9,246303.0,2226.0,490380.0
AH1_S13_NODE_330_length_1621_cov_3.573436,MG518520.1,Streptomyces phage Immanuel3,0.982,241,55.25,23857.0,1620.0,46094.0
AH1_S13_NODE_330_length_1621_cov_3.573436,KY945355.1,Mycobacterium phage Shandong1,0.996,120,30.8,31119.0,1620.0,60618.0
AH1_S13_NODE_38_length_2761_cov_2.790466,MZ334528.1,Halorubrum virus HRTV-28,0.989,179,37.4,19036.0,2802.0,35270.0
AH1_S13_NODE_38_length_2761_cov_2.790466,MN812207.1,Flavobacterium phage vB_FspS_hattifnatt9-1,0.993,201,24.4,21032.0,2802.0,39262.0
AH1_S13_NODE_43_length_2674_cov_2.389080,MT613935.1,Pseudomonas phage Persinger,0.983,453,28.7,23210.5,2388.0,44033.0
AH1_S13_NODE_43_length_2674_cov_2.389080,KY705409.1,Escherichia phage vB_EcoM_ECOO78,0.994,101,43.6,21838.5,2388.0,41289.0
AH1_S13_NODE_43_length_2674_cov_2.389080,GU903191.1,Escherichia phage vB_EcoM_ECO1230-10,0.998,54,33.3,22027.0,2388.0,41666.0
AH1_S13_NODE_50_length_2578_cov_2.825604,KM360178.1,Escherichia phage vB_EcoM-ep3,0.986,259,39.8,22350.0,2349.0,42351.0
AH1_S13_NODE_50_length_2578_cov_2.825604,EU399241.1,Halomonas phage phiHAP-1,0.992,165,32.7,20797.0,2349.0,39245.0
AH1_S13_NODE_55_length_2474_cov_10.249690,JF937105.1,Mycobacterium phage Rey,0.995,126,53.2,42924.0,2124.0,83724.0
AH1_S13_NODE_55_length_2474_cov_10.249690,MT768060.1,Escherichia phage vB_EcoS_swi2,0.997,97,29.9,24867.5,2124.0,47611.0
AH1_S13_NODE_649_length_1377_cov_5.901664,AF447491.1,Burkholderia phage phiE125,0.994,113,49.6,27288.0,1203.0,53373.0
AH1_S13_NODE_649_length_1377_cov_5.901664,ON778007,Pseudomonas phage vB_Pae_LC3I3,0.995,122,33.6,25564.5,1203.0,49926.0
AH1_S13_NODE_649_length_1377_cov_5.901664,LR595864.1,Escherichia virus Lambda_4A7,0.996,85,43.5,25185.5,1203.0,49168.0
AH1_S13_NODE_649_length_1377_cov_5.901664,MW269554.1,Achromobacter phage vB_AchrS_AchV4,0.998,52,40.4,30346.0,1203.0,59489.0
AH1_S13_NODE_669_length_1369_cov_7.136225,MG944218.1,Microbacterium phage Pikmin,0.994,145,26.9,20348.0,1389.0,39307.0
AH1_S13_NODE_88_length_2179_cov_3.110640,MF580959.1,Salinibacter phage M8CRM-1,0.996,118,33.1,27687.5,2178.0,53197.0
AH1_S13_NODE_88_length_2179_cov_3.110640,KT001914.1,Caulobacter phage Seuss,0.998,90,34.4,43658.0,2178.0,85138.0
