genome_ID	genome_length	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	classified
MK064563.1	38091.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SBFV2	E	Sulfolobales Beppu filamentous virus 2	SBFV2	SBFV2 clone B	MK064563	NC_048128	Complete coding genome	dsDNA	archaea	1.0
MH447526.1	37311.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus SFV1	E	Sulfolobus filamentous virus 1	SFV1	SFV1 isolate S48	MH447526	NC_048037	Complete genome	dsDNA	archaea	1.0
AM087120.2	40449.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 3	E	Acidianus filamentous virus 3	AFV3		AM087120	NC_010155	Complete genome	dsDNA	archaea	1.0
AM087121.2	39577.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 6	E	Acidianus filamentous virus 6	AFV6		AM087121	NC_010152	Complete genome	dsDNA	archaea	1.0
AM087122.1	36895.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 7	E	Acidianus filamentous virus 7	AFV7		AM087122	NC_010153	Complete genome	dsDNA	archaea	1.0
AM087123.2	38179.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 8	E	Acidianus filamentous virus 8	AFV8		AM087123	NC_010154	Complete genome	dsDNA	archaea	1.0
EU545650.1	41172.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Acidianus filamentous virus 9	E	Acidianus filamentous virus 9	AFV9		EU545650	NC_010537	Complete genome	dsDNA	archaea	1.0
AF440571.2	40900.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Sulfolobus islandicus filamentous virus	E	Sulfolobus islandicus filamentous virus	SIFV		AF440571	NC_003214	Complete genome	dsDNA	archaea	1.0
AJ854042.1	31787.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Acidianus filamentous virus 2	E	Acidianus filamentous virus 2	AFV2		AJ854042	NC_009884	Complete genome	dsDNA	archaea	1.0
MK064564.1	31324.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus SBFV3	E	Sulfolobales Beppu filamentous virus 3	SBFV3	SBFV3 clone C	MK064564	NC_048127	Complete coding genome	dsDNA	archaea	1.0
