qseqid_ID,sseqid_ID,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,length,Class,Exemplar or additional isolate,Family,Genome composition,Genome coverage,Genus,Host source,Kingdom,Order,Phylum,Realm,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Virus GENBANK accession,Virus REFSEQ accession,Virus isolate designation,Virus name abbreviation(s),Virus name(s),bitscore,definition,evalue,gapopen,genome_ncbi_acc,mismatch,pident,protein_length,qend,qseqid,qstart,send,sseqid,sstart,virus
BC2_S2_NODE_1_length_59166_cov_57,QQM15141.1,67.949,54198.0,43366.0,119.0,Caudoviricetes,E,,dsDNA,Complete genome,Tinalinvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Tinalinvirus tinalin,,Ruthgordonvirinae,,,,,,MW132713,NC_054437,,,Gordonia phage TinaLin,141.0,ssDNA binding protein,3.2899999999999994e-42,0,MW132713.1,51,57.1,167.0,119,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,119,QQM15141.1,1,Gordonia phage TinaLin
BC2_S2_NODE_1_length_59166_cov_57,QQM15140.1,190.015,54198.0,43366.0,427.0,Caudoviricetes,E,,dsDNA,Complete genome,Tinalinvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Tinalinvirus tinalin,,Ruthgordonvirinae,,,,,,MW132713,NC_054437,,,Gordonia phage TinaLin,309.0,DnaB-like dsDNA helicase,1.4e-100,9,MW132713.1,219,44.5,438.0,419,BC2_S2_NODE_1_length_59166_cov_57.999746_22,6,433,QQM15140.1,12,Gordonia phage TinaLin
BC2_S2_NODE_1_length_59166_cov_57,QPO17106.1,74.088,54198.0,59210.0,252.0,Caudoviricetes,E,,dsDNA,Complete genome,Lilbeanievirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Lilbeanievirus lilbeanie,,,,,,,,MW314850,NC_053246,,,Gordonia phage Lilbeanie,89.7,tape measure protein,5.89e-17,4,MW314850.1,172,29.4,1690.0,489,BC2_S2_NODE_1_length_59166_cov_57.999746_41,243,508,QPO17106.1,258,Gordonia phage Lilbeanie
BC2_S2_NODE_1_length_59166_cov_57,QPO17022.1,43.955999999999996,54198.0,55006.0,132.0,Caudoviricetes,E,,dsDNA,Complete genome,Dexdertvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Dexdertvirus dexdert,,,,,,,,MW314849,NC_053210,,,Gordonia phage Dexdert,69.3,head-to-tail adaptor,6.1e-13,5,MW314849.1,75,33.3,265.0,232,BC2_S2_NODE_1_length_59166_cov_57.999746_48,112,247,QPO17022.1,118,Gordonia phage Dexdert
BC2_S2_NODE_1_length_59166_cov_57,QOC56083.1,38.038,54198.0,58203.0,91.0,Caudoviricetes,E,,dsDNA,Complete genome,Clownvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Clownvirus clown,,,,,,,,MT771343,NC_055867,,,Gordonia phage Clown,53.5,hypothetical protein SEA_CLOWN_85,4.21e-09,4,MT771343.1,37,41.8,145.0,80,BC2_S2_NODE_1_length_59166_cov_57.999746_62,3,92,QOC56083.1,5,Gordonia phage Clown
BC2_S2_NODE_1_length_59166_cov_57,QNO12377.1,42.966,54198.0,57356.0,77.0,Caudoviricetes,E,,dsDNA,Complete genome,Cheoctovirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Cheoctovirus royals2015,,Gracegardnervirinae,,,,,,MT897904,NC_051705,,,Mycobacterium phage Royals2015,95.5,WhiB family transcription factor,5.84e-25,1,MT897904.1,33,55.8,215.0,98,BC2_S2_NODE_1_length_59166_cov_57.999746_83,23,91,QNO12377.1,15,Mycobacterium phage Royals2015
BC2_S2_NODE_1_length_59166_cov_57,QNL30810.1,31.04,54198.0,83601.0,80.0,Caudoviricetes,E,Vilmaviridae,dsDNA,Complete genome,Reyvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Reyvirus estes,,Mclasvirinae,,,,,,MT657341,NC_053514,,,Mycobacterium phage Estes,50.4,hypothetical protein SEA_ESTES_101,1.74e-08,2,MT657341.1,30,38.8,81.0,80,BC2_S2_NODE_1_length_59166_cov_57.999746_62,1,61,QNL30810.1,1,Mycobacterium phage Estes
BC2_S2_NODE_1_length_59166_cov_57,QNJ57998.1,76.05900000000001,54198.0,58176.0,243.0,Caudoviricetes,E,,dsDNA,Complete genome,Kroosvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Kroosvirus jksyngboy,,,,,,,,MT723937,NC_053235,,,Gordonia phage JKSyngboy,70.5,head-to-tail adaptor,2.1e-13,11,MT723937.1,128,31.3,255.0,232,BC2_S2_NODE_1_length_59166_cov_57.999746_48,14,236,QNJ57998.1,9,Gordonia phage JKSyngboy
BC2_S2_NODE_1_length_59166_cov_57,QNJ56075.1,159.285,54198.0,69258.0,615.0,Caudoviricetes,E,,dsDNA,Complete genome,Coopervirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Coopervirus heath,,Bclasvirinae,,,,,,MT639648,NC_055860,,,Mycobacterium phage Heath,144.0,portal protein,1e-34,20,MT639648.1,368,25.9,629.0,610,BC2_S2_NODE_1_length_59166_cov_57.999746_63,36,610,QNJ56075.1,44,Mycobacterium phage Heath
BC2_S2_NODE_1_length_59166_cov_57,QNJ56071.1,179.19600000000003,54198.0,69258.0,548.0,Caudoviricetes,E,,dsDNA,Complete genome,Coopervirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Coopervirus heath,,Bclasvirinae,,,,,,MT639648,NC_055860,,,Mycobacterium phage Heath,213.0,terminase large subunit,2.0099999999999999e-60,18,MT639648.1,309,32.7,582.0,552,BC2_S2_NODE_1_length_59166_cov_57.999746_10,18,544,QNJ56071.1,44,Mycobacterium phage Heath
