qseqid_ID,genome_ncbi_acc,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,virus,length,distance
AH1_S13_NODE_1_length_9974_cov_3.863393,MT740737.1,100.914,9231,39744.0,Ralstonia phage Firinga,242,0.987637
AH1_S13_NODE_1_length_9974_cov_3.863393,DQ840344.2,83.928,9231,35055.0,Bacillus phage 1,269,0.988629
AH1_S13_NODE_1_length_9974_cov_3.863393,DQ340064.2,82.045,9231,34683.0,Geobacillus phage GBSV1,269,0.98879
AH1_S13_NODE_1_length_9974_cov_3.863393,MW353181.1,63.986,9231,52849.0,Mycobacterium phage phiT46-1,214,0.993816
AH1_S13_NODE_1_length_9974_cov_3.863393,MT521998.1,67.068,9231,57764.0,Gordonia phage Jambalaya,207,0.993993
AH1_S13_NODE_1_length_9974_cov_3.863393,MH153813.1,68.052,9231,62312.0,Microbacterium phage Squash,212,0.994293
AH1_S13_NODE_1_length_9974_cov_3.863393,MK305889.1,65.096,9231,59655.0,Gordonia phage Mutzi,206,0.99433
AH1_S13_NODE_1_length_9974_cov_3.863393,MN010760.1,64.066,9231,58718.0,Gordonia phage Nubi,206,0.994343
AH1_S13_NODE_1_length_9974_cov_3.863393,MH479910.1,63.048,9231,58695.0,Gordonia phage Danyall,213,0.994431
AH1_S13_NODE_1_length_9974_cov_3.863393,KU963255.1,58.058,9231,53431.0,Gordonia phage Nymphadora,182,0.994441
AH1_S13_NODE_1_length_9974_cov_3.863393,MK864265.1,63.048,9231,59514.0,Gordonia phage Barb,213,0.994497
AH1_S13_NODE_1_length_9974_cov_3.863393,MH153803.1,63.954,9231,61769.0,Microbacterium phage Hyperion,209,0.994595
AH1_S13_NODE_1_length_9974_cov_3.863393,MK937603.1,61.91,9231,60468.0,Gordonia phage Bakery,205,0.994671
AH1_S13_NODE_1_length_9974_cov_3.863393,MK433272.1,61.984,9231,65218.0,Gordonia phage IDyn,149,0.995005
AH1_S13_NODE_1_length_9974_cov_3.863393,MH684921.1,38.976,9231,43077.0,Sphingomonas phage Scott,87,0.995529
AH1_S13_NODE_1_length_9974_cov_3.863393,GU070616.1,109.854,9231,145964.0,Salmonella phage PVPSE1,306,0.995753
AH1_S13_NODE_1_length_9974_cov_3.863393,KU310944.1,34.98,9231,45417.0,Pseudomonas phage YMC11/06/C171_PPU_BP,44,0.996159
AH1_S13_NODE_1_length_9974_cov_3.863393,LN890663.1,31.988,9231,41308.0,Acinetobacter phage Loki,44,0.996202
AH1_S13_NODE_1_length_9974_cov_3.863393,MH153810.1,42.976,9231,61670.0,Gordonia phage Sour,68,0.996363
AH1_S13_NODE_1_length_9974_cov_3.863393,MT740731.2,38.006,9231,57085.0,Ralstonia phage Claudette,62,0.996561
AH1_S13_NODE_1_length_9974_cov_3.863393,KU356689.1,36.04,9231,57061.0,Pseudomonas phage ZC01,85,0.996738
AH1_S13_NODE_1_length_9974_cov_3.863393,MT740739.1,38.006,9231,60898.0,Ralstonia phage Gerry,62,0.996748
AH1_S13_NODE_1_length_9974_cov_3.863393,MT740740.1,38.006,9231,61164.0,Ralstonia phage Gervaise,62,0.996761
AH1_S13_NODE_1_length_9974_cov_3.863393,LN610577.1,35.026,9231,56537.0,Pseudomonas phage vB_PaeS_PAO1_Ab18,83,0.996805
AH1_S13_NODE_1_length_9974_cov_3.863393,KY780482.1,28.996,9231,50526.0,Klebsiella phage KOX1,44,0.997089
AH1_S13_NODE_1_length_9974_cov_3.863393,JX880034.1,39.01,9231,72570.0,Escherichia phage IME11,94,0.997139
AH1_S13_NODE_1_length_9974_cov_3.863393,MK813938.1,52.052,9231,115893.0,Aeromonas phage 2L372X,143,0.997504
AH1_S13_NODE_1_length_9974_cov_3.863393,KY606587.1,36.0,9231,77874.0,Dinoroseobacter phage vB_DshS-R5C,125,0.99752
AH1_S13_NODE_1_length_9974_cov_3.863393,MK804893.1,52.052,9231,122963.0,Aeromonas phage 2L372D,143,0.997637
AH1_S13_NODE_1_length_9974_cov_3.863393,MK813941.1,52.052,9231,124279.0,Aeromonas phage 4L372XY,143,0.997661
AH1_S13_NODE_1_length_9974_cov_3.863393,KT934943.1,55.998,9231,142987.0,Klebsiella phage vB_KpnM_KB57,153,0.997793
AH1_S13_NODE_1_length_9974_cov_3.863393,MT178275.1,55.998,9231,143800.0,Klebsiella phage KpS8,153,0.997804
AH1_S13_NODE_1_length_9974_cov_3.863393,MK024806.1,55.998,9231,145127.0,Proteus phage Mydo,153,0.997823
AH1_S13_NODE_1_length_9974_cov_3.863393,MG250486.1,55.998,9231,145759.0,Raoultella phage Ro1,153,0.997832
AH1_S13_NODE_1_length_9974_cov_3.863393,MN732867.1,57.069,9231,148842.0,Erwinia phage Hena1,153,0.997834
AH1_S13_NODE_1_length_9974_cov_3.863393,MN184887.1,55.998,9231,147321.0,Erwinia phage pEp_SNUABM_01,153,0.997854
AH1_S13_NODE_1_length_9974_cov_3.863393,KY652726.1,55.998,9231,147443.0,Klebsiella phage vB_KpnM_BIS47,153,0.997855
AH1_S13_NODE_1_length_9974_cov_3.863393,KF550303.1,55.998,9231,148567.0,Escherichia phage 4MG,153,0.997871
AH1_S13_NODE_1_length_9974_cov_3.863393,MK813939.1,52.052,9231,138690.0,Aeromonas phage 4L372D,143,0.997889
AH1_S13_NODE_1_length_9974_cov_3.863393,JX181824.1,54.927,9231,147745.0,Salmonella phage SSE121,153,0.997901
AH1_S13_NODE_1_length_9974_cov_3.863393,JN882284.1,53.938,9231,147940.0,Cronobacter phage vB_CsaM_GAP31,149,0.997941
AH1_S13_NODE_1_length_9974_cov_3.863393,MN094788.1,64.964,9231,221431.0,Achromobacter phage Motura,149,0.99831
AH1_S13_NODE_1_length_9974_cov_3.863393,KF623294.1,53.04,9231,218339.0,Erwinia phage PhiEaH1,120,0.998602
AH1_S13_NODE_1_length_9974_cov_3.863393,KU886223.1,38.982,9231,271088.0,Erwinia phage vB_EamM_Simmy50,89,0.999166
AH1_S13_NODE_1_length_9974_cov_3.863393,KU886224.1,38.982,9231,271182.0,Erwinia phage vB_EamM_RAY,89,0.999166
AH1_S13_NODE_1_length_9974_cov_3.863393,KU886222.1,38.982,9231,273224.0,Erwinia phage vB_EamM_Special G,89,0.999172
AH1_S13_NODE_1_length_9974_cov_3.863393,KU886225.1,38.982,9231,273501.0,Erwinia phage vB_EamM_Deimos-Minion,89,0.999173
AH1_S13_NODE_1_length_9974_cov_3.863393,KF806589.1,38.003,9231,271084.0,Erwinia phage Ea35-70,89,0.999187
AH1_S13_NODE_2_length_9181_cov_3.350945,GU903191.1,336.754,8139,41666.0,Escherichia phage vB_EcoM_ECO1230-10,935,0.959431
AH1_S13_NODE_2_length_9181_cov_3.350945,EU399241.1,312.414,8139,39245.0,Halomonas phage phiHAP-1,933,0.960441
AH1_S13_NODE_2_length_9181_cov_3.350945,MT161383.1,341.698,8139,44153.0,Xanthomonas phage FoX3,1093,0.960793
AH1_S13_NODE_2_length_9181_cov_3.350945,MT701586.1,314.886,8139,43707.0,Burkholderia phage Mica,924,0.963559
AH1_S13_NODE_2_length_9181_cov_3.350945,MH252365.1,316.33,8139,44526.0,Ralstonia phage phiRSP,926,0.963961
AH1_S13_NODE_2_length_9181_cov_3.350945,LR595864.1,335.059,8139,49168.0,Escherichia virus Lambda_4A7,1095,0.96492
AH1_S13_NODE_2_length_9181_cov_3.350945,LR597643.1,338.171,8139,50126.0,Escherichia phage Lambda_ev017,1097,0.965176
AH1_S13_NODE_2_length_9181_cov_3.350945,MN692199.1,293.025,8139,58573.0,Pectobacterium phage MA12,1173,0.973646
AH1_S13_NODE_2_length_9181_cov_3.350945,MG711461.1,246.086,8139,48211.0,Faecalibacterium phage FP_Lagaffe,773,0.973797
AH1_S13_NODE_2_length_9181_cov_3.350945,KP296792.1,218.766,8139,44952.0,Bacteriophage Lily,606,0.975276
AH1_S13_NODE_2_length_9181_cov_3.350945,MT330372.1,282.243,8139,61736.0,Cronobacter phage JC01,1157,0.975764
AH1_S13_NODE_2_length_9181_cov_3.350945,MG711466.1,238.764,8139,54725.0,Faecalibacterium phage FP_Toutatis,591,0.977211
AH1_S13_NODE_2_length_9181_cov_3.350945,KR935217.1,148.185,8139,35985.0,Rhodobacter phage RcCronus,445,0.97985
AH1_S13_NODE_2_length_9181_cov_3.350945,MT613935.1,166.125,8139,44033.0,Pseudomonas phage Persinger,443,0.980895
AH1_S13_NODE_2_length_9181_cov_3.350945,KY705409.1,154.035,8139,41289.0,Escherichia phage vB_EcoM_ECOO78,489,0.981302
AH1_S13_NODE_2_length_9181_cov_3.350945,KM360178.1,151.805,8139,42351.0,Escherichia phage vB_EcoM-ep3,485,0.98196
AH1_S13_NODE_2_length_9181_cov_3.350945,MG711462.1,171.252,8139,49573.0,Faecalibacterium phage FP_Epona,603,0.982196
AH1_S13_NODE_2_length_9181_cov_3.350945,KY979235.1,159.162,8139,46450.0,Flavobacterium phage FCV-1,647,0.982506
AH1_S13_NODE_2_length_9181_cov_3.350945,KM873719.2,159.809,8139,47142.0,Flavobacterium phage FCL-2,647,0.982655
AH1_S13_NODE_2_length_9181_cov_3.350945,MT161384.1,146.888,8139,43872.0,Xanthomonas phage FoX5,488,0.983055
AH1_S13_NODE_2_length_9181_cov_3.350945,MT161381.1,146.888,8139,44763.0,Xanthomonas phage FoX1,488,0.98334
AH1_S13_NODE_2_length_9181_cov_3.350945,MT161382.1,144.152,8139,44086.0,Xanthomonas phage FoX2,487,0.983439
