qseqid_ID,genome_ncbi_acc,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,virus,length,distance
AT10B_S15_NODE_1_length_45468_cov_7,MK977711.1,21439.397,103329,132977.0,Streptomyces phage Evy,28155,0.455636
AT10B_S15_NODE_1_length_45468_cov_7,MK494112.1,21445.905,103329,135653.0,Streptomyces phage EGole,28517,0.461569
AT10B_S15_NODE_1_length_45468_cov_7,KM652554.1,21194.475,103329,133531.0,Streptomyces phage Jay2Jay,27765,0.463114
AT10B_S15_NODE_1_length_45468_cov_7,MF347636.1,20945.959,103329,131086.0,Streptomyces phage NootNoot,27590,0.463875
AT10B_S15_NODE_1_length_45468_cov_7,MN096371.1,20944.872,103329,131234.0,Streptomyces phage Braelyn,27954,0.464241
AT10B_S15_NODE_1_length_45468_cov_7,MF347638.1,20952.954,103329,133047.0,Streptomyces phage Peebs,27763,0.468145
AT10B_S15_NODE_1_length_45468_cov_7,MF155946.1,20845.396,103329,131976.0,Streptomyces phage Mildred21,27835,0.468467
AT10B_S15_NODE_1_length_45468_cov_7,MF347639.1,20974.637,103329,133710.0,Streptomyces phage Samisti12,27917,0.469084
AT10B_S15_NODE_1_length_45468_cov_7,MN444876.1,20792.307,103329,133090.0,Streptomyces phage Daubenski,27712,0.472319
AT10B_S15_NODE_1_length_45468_cov_7,MF347637.1,20822.018,103329,133486.0,Streptomyces phage Paradiddles,27442,0.472449
AT10B_S15_NODE_1_length_45468_cov_7,MT310865.1,20468.879,103329,132885.0,Streptomyces phage Bmoc,27230,0.480076
AT10B_S15_NODE_1_length_45468_cov_7,MH590599.1,16721.443,103329,131909.0,Streptomyces phage Karimac,24095,0.573501
AT10B_S15_NODE_1_length_45468_cov_7,MH576968.1,16522.867,103329,133007.0,Streptomyces phage Wollford,24015,0.580524
AT10B_S15_NODE_1_length_45468_cov_7,MH590597.1,16328.575,103329,133195.0,Streptomyces phage LukeCage,23291,0.585786
AT10B_S15_NODE_1_length_45468_cov_7,MH727564.1,16091.649,103329,131250.0,Streptomyces phage Yaboi,23077,0.588412
AT10B_S15_NODE_1_length_45468_cov_7,MH576965.1,16162.642,103329,133886.0,Streptomyces phage StarPlatinum,22988,0.59119
AT10B_S15_NODE_1_length_45468_cov_7,MH651172.1,8683.532,103329,129015.0,Streptomyces phage Comrade,16725,0.775758
AT10B_S15_NODE_1_length_45468_cov_7,MH536811.1,8464.689,103329,125726.0,Streptomyces phage Annadreamy,16381,0.778271
AT10B_S15_NODE_1_length_45468_cov_7,MH536814.1,8333.193,103329,130473.0,Streptomyces phage Blueeyedbeauty,16319,0.786147
AT10B_S15_NODE_1_length_45468_cov_7,MK061412.1,8196.442,103329,128338.0,Streptomyces phage Gilson,15798,0.787718
AT10B_S15_NODE_1_length_45468_cov_7,MG757153.1,7956.431,103329,127084.0,Streptomyces phage BillNye,15333,0.792813
