qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QJD50825.1,80.4,107,21,0,1,107,248,354,7.4e-64,199.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50825.1,DNA primase,Streptomyces phage Bmoc,354.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,QJD50825.1,80.5,272,52,1,1,271,1,272,2.31e-167,469.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50825.1,DNA primase,Streptomyces phage Bmoc,354.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QBP30875.1,80.4,107,21,0,1,107,248,354,3.35e-62,195.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30875.1,DNA primase,Streptomyces phage EGole,354.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,QBP30875.1,81.0,268,50,1,5,271,5,272,7.680000000000001e-166,465.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30875.1,DNA primase,Streptomyces phage EGole,354.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,ASR77783.1,79.4,107,22,0,1,107,225,331,1.02e-61,193.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77783.1,DNA primase,Streptomyces phage Peebs,331.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,ASR77783.1,83.1,249,41,1,24,271,1,249,1.87e-156,441.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77783.1,DNA primase,Streptomyces phage Peebs,331.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AST15309.1,79.4,107,22,0,1,107,248,354,1.9e-61,193.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15309.1,DNA primase,Streptomyces phage Samisti12,354.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,AST15309.1,80.2,268,52,1,5,271,5,272,1.09e-165,465.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15309.1,DNA primase,Streptomyces phage Samisti12,354.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QGH76387.1,81.3,107,20,0,1,107,248,354,1.9e-61,193.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76387.1,DNA primase,Streptomyces phage Daubenski,354.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,QGH76387.1,85.5,269,38,1,4,271,4,272,1.88e-173,484.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76387.1,DNA primase,Streptomyces phage Daubenski,354.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
