qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,ASR77341.1,83.1,272,45,1,1,271,1,272,1.4699999999999999e-170,477.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77341.1,DNA primase,Streptomyces phage NootNoot,354.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,226.032
AT10B_S2_NODE_1_length_122269_cov_11.242561_205,ASR77562.1,83.1,272,45,1,1,271,1,272,1.4699999999999999e-170,477.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77562.1,DNA primase,Streptomyces phage Paradiddles,354.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,226.032
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AIW02581.1,82.7,255,39,2,1,250,1,255,3.63e-147,413.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02581.1,hypothetical protein PBI_JAY2JAY_83,Streptomyces phage Jay2Jay,255.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,210.885
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AXH69607.1,63.2,1103,391,4,6,1094,5,1106,0.0,1394.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69607.1,DnaE-like DNA polymerase III alpha,Streptomyces phage LukeCage,1106.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria,697.096
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AKY03511.1,32.6,1076,565,34,5,965,6,1036,5.8e-138,448.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AKY03511.1,DnaE-like DNA polymerase III (alpha),Streptomyces phage Danzina,1160.0,KT124228.1,50773.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Arquatrovirinae,Likavirus,,Likavirus danzina,E,Streptomyces phage Danzina,,,KT124228,NC_041860,Complete genome,dsDNA,bacteria,350.776
AT10B_S2_NODE_1_length_122269_cov_11.242561_4,ASR77344.1,41.8,55,32,0,1,55,1,55,1.54e-10,53.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77344.1,hypothetical protein SEA_NOOTNOOT_76,Streptomyces phage NootNoot,59.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,22.990000000000002
AT10B_S2_NODE_1_length_122269_cov_11.242561_5,AVO22083.1,56.1,114,49,1,4,116,1,114,2.02e-36,122.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVO22083.1,MazG-like nucleotide pyrophosphohydrolase,Gordonia phage Waits,114.0,MH001454.1,52856.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Soupsvirus,,Soupsvirus wait,E,Gordonia phage Wait,,,MH001454,NC_042123,Complete genome,dsDNA,bacteria,63.95399999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_6,QGH76393.1,86.1,339,42,1,1,339,1,334,1.91e-207,573.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76393.1,RecA-like DNA recombinase,Streptomyces phage Daubenski,334.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,291.879
AT10B_S2_NODE_1_length_122269_cov_11.242561_7,ASR77568.1,63.6,66,24,0,1,66,1,66,5.62e-28,97.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77568.1,hypothetical protein SEA_PARADIDDLES_79,Streptomyces phage Paradiddles,66.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,41.976000000000006
AT10B_S2_NODE_1_length_122269_cov_11.242561_7,AZU97144.1,48.2,56,29,0,9,64,8,63,3.2e-13,60.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,AZU97144.1,hypothetical protein SEA_GILSON_66,Streptomyces phage Gilson,63.0,MK061412.1,128338.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus gilson,E,Streptomyces phage Gilson,,,MK061412,NC_048742,Complete genome,dsDNA,bacteria,26.992000000000004
AT10B_S2_NODE_1_length_122269_cov_11.242561_8,AXH69612.1,76.0,104,25,0,1,104,1,104,4.2899999999999996e-54,166.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69612.1,holliday junction resolvase,Streptomyces phage LukeCage,106.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria,79.04
AT10B_S2_NODE_1_length_122269_cov_11.242561_10,AST15318.1,84.7,111,17,0,1,111,1,111,2.98e-66,197.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15318.1,hypothetical protein SEA_SAMISTI12_87,Streptomyces phage Samisti12,111.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,94.01700000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_11,AXH69960.1,80.5,257,50,0,1,257,1,257,1.73e-161,450.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69960.1,Cas4 family exonuclease,Streptomyces phage Karimac,257.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria,206.885
AT10B_S2_NODE_1_length_122269_cov_11.242561_13,QJD50838.1,78.5,149,32,0,1,149,1,149,1.99e-84,246.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50838.1,DprA-like ssDNA binding protein,Streptomyces phage Bmoc,153.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,116.965
AT10B_S2_NODE_1_length_122269_cov_11.242561_13,ASR77572.1,77.5,151,34,0,1,151,1,151,4.02e-84,246.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77572.1,DprA-like ssDNA binding protein,Streptomyces phage Paradiddles,153.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,117.025
AT10B_S2_NODE_1_length_122269_cov_11.242561_13,ASR77354.1,76.8,151,35,0,1,151,1,151,1.15e-83,244.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77354.1,DprA-like ssDNA binding protein,Streptomyces phage NootNoot,153.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,115.96799999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_14,QJD50839.1,58.0,50,21,0,1,50,1,50,2.32e-14,62.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50839.1,helix-turn-helix DNA-binding protein,Streptomyces phage Bmoc,50.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,29.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_14,AIW02594.1,68.8,32,10,0,19,50,1,32,2.54e-09,48.9,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02594.1,hypothetical protein PBI_JAY2JAY_96,Streptomyces phage Jay2Jay,32.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,22.016
